event_date,country_id,latitud,longitud,fatalities
2013-05-15,8,1.71305,44.76388,0
2013-07-18,39,-25.74486,28.18783,0
2013-03-12,11,11.84644,13.16027,2
1998-06-15,23,15.45,39.05,0
2012-09-13,38,30.04442,31.2357,0
2004-02-07,8,2.04139,45.33372,1
2011-08-01,11,9.92849,8.89212,0
2013-03-12,8,3.11718,43.6469,0
2015-06-21,45,-3.3797,29.365,0
2013-11-25,27,4.36197,18.58664,1
2009-01-18,48,4.1667,29.5,9
1999-06-02,35,-9.5447,16.3452,0
2012-11-21,11,4.78978,8.5316,0
2015-05-29,48,-4.325,15.32222,0
2013-03-12,39,-34.03932,18.67916,0
2015-10-19,48,1.59537,29.95744,0
2008-09-15,16,36.66123,5.78876,1
2015-07-22,8,4.26505,43.48478,6
2014-01-11,8,2.01951,45.31,0
2011-08-20,8,2.7333,41.0166,19
2002-10-29,45,-3.3486,29.4833,3
2014-07-01,8,2.06777,45.35,0
2009-10-01,27,5.22123,26.60003,0
2014-01-10,27,4.36197,18.58664,5
2007-09-24,16,36.45028,6.26444,3
2008-04-11,7,-1.99,29.63,1
1998-03-02,22,8.76905,-12.08919,0
2015-08-22,31,6.81868,29.69952,7
2008-01-06,21,-20.9333,29.0,0
2015-09-16,43,36.81897,10.16579,0
2013-10-02,11,7.76667,4.56667,0
2014-04-23,48,-1.42805,28.07264,0
1998-11-26,39,-25.93333,28.01667,0
2015-12-22,8,1.61101,44.3303,1
2015-04-17,39,-26.45794,29.46553,0
2000-12-01,48,-8.47162,28.89659,0
2011-05-16,39,-24.02565,30.2675,0
1999-11-23,46,1.41667,35.25,0
2003-12-03,44,2.76667,32.30556,2
2014-07-22,8,2.06777,45.35,0
2007-08-18,8,2.04803,45.32,0
2001-07-01,21,-18.7166,31.9833,0
2011-02-15,26,-2.75,35.5,1
2008-12-18,48,1.20722,30.17699,0
1997-05-18,45,-2.9653,29.19295,14
2015-08-30,43,35.31804,8.8523,1
2004-02-03,8,3.11718,43.6469,4
2007-03-01,8,9.0,46.0,0
2015-01-05,16,24.55274,9.48582,0
2013-06-20,2,-26.48333,31.36667,0
2014-01-15,38,31.13159,33.79844,0
2011-01-28,38,30.05,31.25,0
2015-05-28,38,30.07708,31.28591,0
2014-03-30,8,3.80958,43.24628,1
2014-06-20,1,-25.03201,46.98969,9
2015-07-27,27,4.36197,18.58664,0
2012-04-01,33,16.7667,-3.0167,0
1999-09-01,16,35.5553,6.1786,12
2015-09-27,27,4.36197,18.58664,0
2008-06-08,23,12.7125,43.1367,0
2014-10-21,48,-2.69438,27.3465,3
1997-01-13,4,11.78979,34.35986,0
2001-11-01,35,-11.9166,16.9,0
2013-06-09,8,2.06777,45.35,1
2014-11-19,8,5.20527,46.51373,0
2013-01-24,39,-29.79312,30.89788,1
1998-09-30,44,-0.9333,29.9,8
2000-05-15,22,9.4301,-11.3642,0
2008-07-30,17,-15.4,28.3333,0
2002-09-24,44,2.235,32.9097,0
1999-05-21,48,-6.05,26.9167,120
2013-11-25,24,30.75545,20.22626,0
2012-09-02,48,-1.43333,28.73333,0
1999-04-30,22,8.71667,-11.95,0
2009-07-23,48,-4.95,28.78333,24
1997-11-14,22,7.57999,-11.65092,0
2013-02-23,11,10.47511,7.41959,5
1997-02-12,11,6.45306,3.39583,0
2010-01-03,48,4.14162,27.8997,4
2012-12-13,43,35.23151,9.12321,0
2012-05-17,16,36.7723,5.95728,1
2012-03-12,39,-33.99121,19.29219,0
2015-07-04,24,32.76704,22.63669,13
1999-12-12,48,1.26667,19.55,0
2004-12-30,11,11.7594,9.33921,1
2015-12-14,10,-4.26,15.28,0
2012-08-15,33,16.77046,-3.00559,0
2000-12-14,6,8.16667,40.78333,17
2013-07-16,21,-16.88337,31.12249,0
2008-10-02,39,-26.20227,28.04364,0
2013-01-07,34,-22.0,15.6,0
1999-09-09,11,6.45306,3.39583,10
2010-07-25,8,2.04139,45.33372,0
2010-08-27,8,2.04139,45.33372,11
2014-09-26,8,9.87699,47.40549,0
2014-01-23,16,32.49094,3.67347,1
2008-05-14,8,2.04393,45.3,0
2012-12-19,11,12.84884,7.71485,0
2015-10-21,44,0.69278,34.18111,0
2010-05-06,8,2.05492,45.33,1
2015-08-03,27,4.36197,18.58664,2
2008-07-29,39,-27.53981,21.34113,0
2015-02-16,26,-6.8167,37.6667,4
2015-11-08,16,35.93711,2.49837,1
2002-05-15,6,9.35,42.8,102
2000-08-27,45,-3.3772,29.358,0
2012-07-22,8,2.04803,45.32,0
2001-05-04,45,-4.1144,29.98,6
1999-02-02,35,-6.2666,14.25,0
2012-10-01,11,10.26761,13.26436,48
2013-10-26,8,0.30463,41.43938,5
2013-03-01,48,-1.15,29.45,0
2001-12-06,39,-26.20227,28.04364,0
2014-12-28,4,12.05557,24.89058,1
2011-02-02,11,10.61285,12.19458,1
2013-05-27,8,3.328,42.21988,0
1997-06-14,22,7.77482,-11.14259,0
2012-12-04,38,30.9761,31.1669,0
2002-04-23,4,13.44127,22.4454,26
2010-04-30,11,6.45679,3.34149,0
2010-01-28,11,5.52627,7.48959,0
2002-10-21,9,6.87472,-6.45194,20
2011-10-26,39,-33.92528,18.42389,0
2010-06-08,8,2.04803,45.32,0
1999-10-08,35,-11.8166,15.8333,0
2015-02-07,24,32.09709,20.12919,5
2010-12-15,8,9.82412,43.47594,1
2013-01-31,39,-29.96667,30.88333,0
1998-08-02,48,-2.468,28.8202,0
2002-07-11,3,6.8711,-10.828,0
2015-01-05,11,11.86729,14.18511,0
1997-11-15,22,8.31183,-10.85003,0
2014-06-02,31,8.6,33.06667,0
2004-03-15,24,24.16667,23.26962,0
2013-07-29,26,-6.8167,39.2833,0
2003-08-01,3,6.31,-10.8,0
2001-11-04,27,4.36197,18.58664,0
2006-03-12,48,-2.08721,28.64636,1
2006-12-21,11,5.25114,6.61298,0
2015-10-03,39,-29.96667,30.88333,2
2008-10-08,21,-17.0,29.3333,0
2011-05-03,4,16.68609,33.43256,0
2012-05-23,8,3.28,45.25,1
2008-01-17,46,-0.36774,35.28314,6
2006-02-05,8,3.11718,43.6469,0
2002-02-16,21,-17.8794,31.1244,0
2013-03-08,38,30.46687,33.78428,0
2000-03-14,35,-11.4666,16.9666,0
2015-04-29,4,15.57253,32.53635,1
1999-08-05,46,0.6328,34.2694,0
2012-12-21,43,36.50114,8.78024,0
2011-12-10,11,9.92849,8.89212,1
2014-08-19,31,4.50167,30.15733,0
2015-07-30,39,-32.94611,27.72792,0
2014-08-22,21,-17.8333,31.05,0
1999-08-10,3,8.2869,-10.0844,0
2011-11-10,8,2.05492,45.33,0
1998-10-13,48,-2.94373,25.92237,0
2010-05-11,39,-29.9,30.98333,0
2009-03-31,5,9.5091,-13.7122,0
2001-09-03,11,6.45306,3.39583,4
2012-10-31,39,-33.92528,18.42389,0
2012-03-01,11,11.84644,13.16027,3
1999-11-01,22,9.09125,-11.38501,0
2013-04-17,8,3.328,42.21988,1
2014-04-03,31,4.08991,30.67164,0
2014-09-16,38,28.23638,33.6254,0
2010-01-25,8,2.04139,45.33372,0
2011-01-07,11,9.8,8.95,9
2011-09-09,8,2.15,45.116,1
2015-01-25,8,3.59038,45.55978,1
2013-09-29,11,11.5032,11.9367,42
2000-08-15,44,3.4464,31.2703,0
2014-02-25,38,31.20168,29.94458,0
